HDI rank,Country,Gender Inequality Index (Value),Gender Inequality Index (Rank),Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament,Population with at least some secondary education (F),Population with at least some secondary education (M),Labour force participation rate (F),Labour force participation rate (M),Human Development Index (F),Human Development Index (M),Life expectancy at birth (F),Life expectancy at birth (M) ,Expected years of schooling (F),Expected years of schooling (M),Mean years of schooling (F),Mean years of schooling (M),Estimated  gross national income per capita (F),Estimated  gross national income per capita (M)
1,Switzerland,0.018,3,5,2.2,39.8,96.9,97.5,61.7,72.7,0.944,0.976,85.9,82.0,16.4,16.6,13.5,14.2,"54,597","79,451"
2,Norway,0.016,2,2,2.3,45.0,99.1,99.3,60.3,72.0,0.950,0.966,84.9,81.6,18.9,17.5,13.1,12.9,"54,699","74,445"
3,Iceland,0.043,8,4,5.4,47.6,99.8,99.7,61.7,70.5,0.947,0.971,84.2,81.2,20.3,18.1,13.9,13.7,"47,136","64,004"
4,"Hong Kong, China (SAR)",..,..,..,1.6,..,77.1,83.4,53.5,65.8,0.941,0.964,88.3,82.7,17.6,17.0,11.8,12.7,"51,735","75,307"
5,Australia,0.073,19,6,8.1,37.9,94.6,94.4,61.1,70.5,0.932,0.963,85.8,83.2,21.8,20.3,12.8,12.6,"37,486","61,161"
6,Denmark,0.013,1,4,1.9,39.7,95.1,95.2,57.7,66.7,0.937,0.957,83.3,79.5,19.3,18.1,13.2,12.8,"49,876","70,961"
7,Sweden,0.023,4,4,3.3,47.0,91.8,92.2,61.7,68.0,0.941,0.952,84.9,81.1,20.5,18.3,12.8,12.4,"49,580","59,326"
8,Ireland,0.074,21,5,5.9,27.3,88.1,86.0,56.5,68.6,0.934,0.947,83.8,80.2,19.2,18.6,11.8,11.4,"61,104","91,506"
9,Germany,0.073,19,7,7.5,34.8,96.1,96.5,56.8,66.0,0.931,0.952,83.2,78.1,17.0,17.0,13.8,14.3,"46,150","63,143"
10,Netherlands,0.025,5,5,2.8,39.1,89.8,92.7,62.4,71.3,0.925,0.956,83.4,80.0,19.0,18.4,12.4,12.8,"46,301","65,778"
