Economy,Economy Code,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)","Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day) ",Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no),Firms with female participation in ownership (% of firms),Firms with female top manager (% of firms),A woman can sign a contract in the same way as a man (1=yes; 0=no),Women Business and the Law Index Score (scale 1-100),"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)","Part time employment, female (% of total part time employment)","Part time employment, male (% of total male employment)",Number of female business owners,Number of male business owners,"Women, Business and the Law: Parenthood Indicator Score (scale 1-100)",There is no legal provision that requires a married woman to obey her husband (1=yes; 0=no)
Aruba,ABW,,,,,,,,,,,,,,
Afghanistan,AFG,,,0,2.2,4.7,0,38.125,,35.5790841,27.02000046,177,8482,20,0
Angola,AGO,,,1,56.6,13.5,1,79.375,62,,,,,60,1
Albania,ALB,21.73611,3.47222,1,20.7,18.1,1,91.25,69,54.6009834,15.35000038,562,2428,80,1
Andorra,AND,,,,,,,,,,,,,,
United Arab Emirates,ARE,,,1,,,1,82.5,,24.4481383,2.230000019,16921,176241,60,1
Argentina,ARG,23.41864,9.2486,1,57.8,8,0,79.375,,53.1551654,39.31999969,,,60,1
Armenia,ARM,,,0,27.4,19.1,0,87.5,66,59.5650599,17.45999908,,,100,1
American Samoa,ASM,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,0,21.3,17.5,0,66.25,,,,,,0,1
Australia,AUS,,,1,,,1,96.875,,58.9298264,35.79999924,,,100,1
Austria,AUT,,,1,,,1,96.875,,60.6380123,37.36999893,,,100,1
Azerbaijan,AZE,,,0,15.3,16.5,1,78.75,,59.2337605,15.14000034,2225,11693,80,1
Burundi,BDI,,,1,44,16.3,0,76.25,44,54.0887943,23.65999985,,,40,1
Belgium,BEL,15.90278,10.06944,1,44.2,17.9,1,100,,60.6908315,31.21999931,,,100,1
Benin,BEN,,,1,36.7,25.9,0,80.625,35.7,59.8511986,20.18000031,640,2701,60,1
Burkina Faso,BFA,,,0,,,1,82.5,20.3,,,,,80,1
Bangladesh,BGD,,,0,12.7,4.8,0,49.375,64.3,62.5714615,10.06000042,,,20,1
Bulgaria,BGR,18.47222,9.23611,1,41.7,28.8,1,90.625,,54.1006503,11.81000042,,,100,1
Bahrain,BHR,,,1,,,1,65,,,,1799,6574,40,0
"Bahamas, The",BHS,,,0,58.3,33.2,0,81.25,,,,,,20,1
Bosnia and Herzegovina,BIH,,,1,24.9,16.6,1,85,,50.6472806,9.300000191,,,80,1
Belarus,BLR,19.16667,9.51389,1,45.5,21.1,0,75.625,,74.5708923,7.960000038,3238,9801,80,1
Belize,BLZ,,,0,30.4,25.5,0,79.375,,48.0901934,20.70999908,,,60,1
Bermuda,BMU,,,,,,,,,,9.06000042,,,,
Bolivia,BOL,,,1,68.6,26.3,1,88.75,,,,,,60,1
Brazil,BRA,11.60814,5.13276,0,,,0,85,,53.4354149,25.59000015,,,80,1
Barbados,BRB,,,0,43.5,25.4,0,80,,55.1735309,9.520000458,,,40,1
Brunei Darussalam,BRN,,,0,,,0,53.125,,50.5317862,12.34000015,510,1129,0,0
Bhutan,BTN,15,5.90278,1,43.3,26.3,0,71.875,,53.7857117,5.610000134,37,74,40,1
Botswana,BWA,,,0,55.3,16.5,0,63.75,,54.4593022,12.43000031,,,0,1
Central African Republic,CAF,,,0,53.3,12.1,0,76.875,,,,,,60,1
Canada,CAN,14.58333,9.58333,1,,,1,100,,57.2912139,31.94000053,,,100,1
Switzerland,CHE,16.83333,10.80417,1,,,0,88.125,,62.1774039,33.70000076,,,80,1
Channel Islands,CHI,,,,,,,,,,,,,,
Chile,CHL,22.10355,9.85396,0,29.6,4.5,0,80,,52.2956021,26.98999977,48542,95444,100,1
China,CHN,15.34722,5.90278,0,64.2,17.5,0,75.625,,,,,,80,1
Cote d'Ivoire,CIV,,,1,24.4,14.3,0,83.125,25.2,54.5019098,17.54000092,3773,13581,80,1
Cameroon,CMR,15.82086,4.56784,0,39.7,22.9,0,60,48.5,53.4387386,31.93000031,,,80,1
"Congo, Dem. Rep.",COD,,,0,15.1,10.8,1,78.75,30.7,52.3423549,39.15999985,,,80,1
"Congo, Rep.",COG,,,0,,,0,49.375,26.8,,,,,20,1
Colombia,COL,5.02051,2.92763,0,66.9,18.9,0,84.375,,57.4988865,18.17000008,,,100,1
Comoros,COM,,,1,,,0,65,20.8,43.5436579,18.73999977,,,40,1
Cabo Verde,CPV,,,0,,,1,86.25,,52.6000649,20.04999924,,,40,1
Costa Rica,CRI,22.14571,8.37858,1,43.5,15.4,0,86.25,,46.1177687,30.22999954,,,40,1
Cuba,CUB,21,12.47024,,,,,,,61.8851612,1.24000001,,,,
Curacao,CUW,,,,,,,,,,18.13999939,,,,
Cayman Islands,CYM,,,,,,,,,,5.010000229,,,,
Cyprus,CYP,,,1,45.1,8.2,1,94.375,,49.8252229,33.11999893,,,80,1
Czech Republic,CZE,,,1,29.9,16.1,1,93.75,,52.7602844,28.70999908,,,100,1
Germany,DEU,16.4,10.4,1,,,1,97.5,,65.2715964,28.5,14408,84613,80,1
Djibouti,DJI,,,1,22.3,14.2,1,68.125,,,,,,60,0
Dominica,DMA,,,0,41,23.6,0,62.5,,,,110,320,0,1
Denmark,DNK,,,1,31.8,8.3,1,100,,57.6655848,35.09999847,7380,28550,100,1
Dominican Republic,DOM,16.70887,3.78561,0,32.2,21.2,1,86.25,,47.9206008,31.86000061,,,60,1
Algeria,DZA,21.66667,3.75,1,,,0,57.5,,33.9731698,15.67000008,656,8816,60,1
Ecuador,ECU,19.74505,4.72192,1,70.4,22.9,0,89.375,86.7,46.1399541,42.45999908,,,40,1
"Egypt, Arab Rep.",EGY,22.36111,2.43056,0,5.2,6.3,1,50.625,,25.871358,5.989999771,,,20,0
Eritrea,ERI,,,0,,,0,69.375,,,,,,20,1
Spain,ESP,18.95833,8.61111,1,,,1,100,,56.9650291,28.82999992,,,100,1
Estonia,EST,17.22222,10.76389,1,35.5,22.5,1,97.5,,55.7244787,28.01000023,6593,16453,100,1
Ethiopia,ETH,19.30556,6.59722,0,36.2,4.5,0,76.875,45.2,56.7096114,42.90999985,,,60,1
Finland,FIN,15.20417,10.49167,1,44,12.9,1,97.5,,54.2867846,38.31999969,,,80,1
Fiji,FJI,15.15812,5.19476,0,,,0,82.5,,,,,,60,1
France,FRA,15.77314,9.49464,1,,,1,100,,57.4852577,36.13999939,,,100,1
Faroe Islands,FRO,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,,,0,,,0,61.25,,,8.5,,,0,1
Gabon,GAB,,,0,,,1,82.5,48,,,,,80,1
United Kingdom,GBR,12.65278,6.96528,1,,,1,97.5,,64.6371079,27.55999947,,,80,1
Georgia,GEO,,,0,22.4,16.5,1,88.125,82.4,53.0113836,20.79000092,7218,19546,80,1
Ghana,GHA,,,0,31.6,14.9,0,75,52,50.9619397,27.39999962,,,20,1
Gibraltar,GIB,,,,,,,,,,,,,,
Guinea,GIN,,,1,9,5.8,1,73.75,28.9,,,321,2309,20,1
"Gambia, The",GMB,,,0,16.8,9.6,0,69.375,40.5,70.8864129,10.93000031,,,60,1
Guinea-Bissau,GNB,,,0,,,0,42.5,,,,,,20,1
Equatorial Guinea,GNQ,,,1,,,0,51.875,,,,,,60,0
Greece,GRC,18.125,7.01389,1,45.9,17.2,1,100,,52.2794919,26.70999908,,,100,1
Grenada,GRD,,,1,57.3,24,0,80.625,,,,,,20,1
Greenland,GRL,,,,,,,,,,,,,,
Guatemala,GTM,19.48273,2.60537,0,31.5,18.5,0,70.625,64.8,47.5927049,22.75,,,60,1
Guam,GUM,,,,,,,,,,,,,,
Guyana,GUY,,,1,58.3,17.7,1,86.875,,,,,,40,1
"Hong Kong SAR, China",HKG,10.83333,3.33333,0,,,1,91.875,,55.1930001,14.82999992,,,60,1
Honduras,HND,,,0,54.7,28,1,75,70.3,47.4343991,24.51000023,,,20,1
Croatia,HRV,,,1,31.7,27,1,93.75,,51.0085113,26.81999969,,,100,1
Haiti,HTI,,,1,,,0,61.25,59,48.937511,26.06999969,,,40,1
Hungary,HUN,17.27674,7.9796,0,51.9,22.1,1,96.875,,51.3454283,22.29999924,,,100,1
Indonesia,IDN,,,0,22.1,22.1,0,64.375,,50.0918556,29.54000092,,,40,1
Isle of Man,IMN,,,,,,,,,,,,,,
India,IND,,,0,10.7,8.9,0,74.375,,,,,,40,1
Ireland,IRL,,,1,54.9,15.1,1,100,,61.4591665,28.29000092,,,100,1
"Iran, Islamic Rep.",IRN,,,0,,,0,31.25,,31.4484042,26.90999985,,,60,0
Iraq,IRQ,,,1,6.8,2.3,0,45,,11.582155,23.63999939,,,20,0
Iceland,ISL,,,1,,,1,100,,61.0655149,29.70999908,,,100,1
Israel,ISR,,,1,27.3,10.1,1,80.625,,60.910343,27.27000046,,,60,1
Italy,ITA,20.4,8.4,1,24,15.3,1,97.5,,56.7138791,30.29000092,24377,90562,100,1
Jamaica,JAM,,,0,38.2,24.1,0,68.125,,51.7596647,9.529999733,1462,3183,20,1
Jordan,JOR,,,1,22.6,3.1,1,46.875,60.7,27.4289062,8.789999962,1322,6087,40,0
Japan,JPN,15.13889,3.125,0,,,0,78.75,,62.4195738,25.31999969,,,100,1
Kazakhstan,KAZ,18.95833,6.25,0,30.5,26,0,69.375,,62.8040923,6.539999962,7526,18793,80,1
Kenya,KEN,,,1,47.5,18.1,0,80.625,56,60.1220371,20.70000076,,,40,1
Kyrgyz Republic,KGZ,16.80556,9.51389,0,45,32.9,1,76.875,76.6,50.6336889,19.95999908,,,40,1
Cambodia,KHM,,,0,46.2,57.3,1,81.25,75.6,55.279724,19.29999924,3247,10507,20,1
Kiribati,KIR,,,1,,,0,76.25,,,8.220000267,1,3,20,1
St. Kitts and Nevis,KNA,,,0,57.8,21.1,0,71.25,,,,,,40,1
"Korea, Rep.",KOR,14.09722,4.375,0,,,0,85,,58.0236133,17.63999939,23070,73085,80,1
Kuwait,KWT,,,0,,,0,35,,,,,,0,0
Lao PDR,LAO,13.6038,10.06278,0,36.5,43.1,1,88.125,,53.6236904,23.81999969,180,714,80,1
Lebanon,LBN,,,0,9.9,5.9,0,58.75,,30.2511266,17.27000046,,,20,1
Liberia,LBR,6.29234,2.57656,1,37.4,20.4,0,81.25,67.2,58.3180645,14.30000019,,,20,1
Libya,LBY,,,1,,,0,50,,,,,,40,1
St. Lucia,LCA,,,1,32.1,23.7,0,83.75,,43.5008865,8.510000229,70,212,40,1
Liechtenstein,LIE,,,,,,,,,,,,,,
Sri Lanka,LKA,,,0,26.1,8.8,0,65.625,,45.3726678,19.87000084,,,20,1
Lesotho,LSO,,,1,39.1,36.2,0,78.125,60.9,51.2338226,9.369999886,2438,4821,20,1
Lithuania,LTU,,,1,43.1,30.7,1,93.75,,61.3698877,21.61000061,,,100,1
Luxembourg,LUX,14.44444,7.08333,1,40.5,7.4,1,100,,61.7777231,24.27000046,,,100,1
Latvia,LVA,,,1,46.6,32.6,1,100,,61.0377227,18.71999931,3197,6187,100,1
"Macao SAR, China",MAC,,,,,,,,,45.5051664,6.070000172,,,,
St. Martin (French part),MAF,,,,,,,,,,,,,,
Morocco,MAR,20.83333,2.98611,1,16.1,5.4,1,75.625,,58.0628318,11.85000038,11225,56003,80,1
Monaco,MCO,,,,,,,,,,,,,,
Moldova,MDA,20.13841,11.2725,1,39.9,18.6,1,87.5,72.9,56.9986233,21.62000084,,,100,1
Madagascar,MDG,,,0,41.6,28.2,0,71.875,,59.5245872,25.90999985,,,40,1
Maldives,MDV,,,0,,,1,73.75,57.9,41.7993893,10.82999992,,,40,1
Mexico,MEX,27.76825,11.11167,0,25.7,14.6,1,88.75,,54.161304,19.14999962,,,60,1
Marshall Islands,MHL,,,1,,,1,65.625,,,15.52999973,,,0,1
North Macedonia,MKD,15.41667,5.41667,0,29.3,21.3,1,85,88.1,45.5743074,22.35000038,1532,3594,80,1
Mali,MLI,,,1,15.3,11.6,0,60.625,7.7,67.4923547,8.840000153,274,3005,60,0
Malta,MLT,,,1,46,11.3,1,88.75,,52.8241676,31.95999908,931,4746,60,1
Myanmar,MMR,,,0,35.1,41.1,0,58.75,67.5,45.1500024,12.75,2949,7091,60,1
Montenegro,MNE,,,0,24,15,1,85,,43.548906,8.75,,,80,1
Mongolia,MNG,19.29129,7.59633,0,43.7,38.9,1,85,63.2,51.4795337,8.930000305,8135,13950,80,1
Northern Mariana Islands,MNP,,,,,,,,,,,,,,
Mozambique,MOZ,,,0,28.3,15.6,1,82.5,49.1,59.0167114,43.79000092,,,60,1
Mauritania,MRT,,,0,15,4.5,0,48.125,,,,105,854,60,0
Mauritius,MUS,,,1,,,1,89.375,,46.588708,29.63999939,1645,6640,60,1
Malawi,MWI,,,1,28.1,14.2,0,77.5,46.7,54.1958325,45.34000015,,,20,1
Malaysia,MYS,,,0,25.4,26.3,0,50,,38.7251027,9.31000042,30301,74836,0,0
Namibia,NAM,,,1,41,27.4,0,86.25,71.2,60.5451985,20.28000069,,,40,1
New Caledonia,NCL,,,,,,,,,,,,,,
Niger,NER,,,1,14.5,10.6,0,56.875,7.3,58.3824911,27.93000031,,,60,1
Nigeria,NGA,,,0,16.2,13.9,0,63.125,46.3,51.874343,28.04000092,178937,354579,0,1
Nicaragua,NIC,,,0,35.8,27,1,86.25,,50.3916681,26.56999969,,,40,1
Netherlands,NLD,14.72222,9.23611,1,35,13.7,1,97.5,,61.8632067,41.27999878,4697,21681,80,1
Norway,NOR,15.30833,12.33333,1,,,0,96.875,,56.3822665,42.63000107,6843,21902,100,1
Nepal,NPL,,,1,21.8,17.2,0,80.625,47.7,77.7832702,24.07999992,3760,22700,40,1
Nauru,NRU,,,,,,,,,,8.590000153,,,,
New Zealand,NZL,18.05556,10.55556,1,,,1,97.5,,62.8876205,27.81999969,,,80,1
Oman,OMN,,,0,,,0,38.75,,,,1644,10265,0,1
Pakistan,PAK,,,0,11.8,6,0,55.625,40.3,65.5733925,5.360000134,5198,30817,20,1
Panama,PAN,17.95164,7.57184,0,24.7,23.5,0,79.375,79.1,42.6495514,33.34000015,,,80,1
Peru,PER,23.56031,8.94605,1,56.6,19.9,1,95,,52.4572987,39.56999969,,,80,1
Philippines,PHL,,,1,69.2,29.9,1,78.75,81,40.1344449,36.90000153,,,60,1
Palau,PLW,,,0,,,0,56.25,,,0,,,0,1
Papua New Guinea,PNG,,,0,46.5,13.8,0,60,56.7,,,,,0,1
Poland,POL,18.2625,9.92917,1,37,27.8,1,93.75,,55.3899521,22.97999954,,,100,1
Puerto Rico,PRI,,,0,,,1,83.75,,49.6743873,23.09000015,,,20,1
"Korea, Dem. People's Rep.",PRK,,,,,,,,,,,,,,
Portugal,PRT,17.81135,10.2414,1,37.8,14,1,100,,55.44866,30.09000015,,,100,1
Paraguay,PRY,14.52502,4.27041,1,66.2,19.6,1,94.375,,57.2039351,16.80999947,,,80,1
