Economy Code,HDI rank,Country,Gender Inequality Index (Value),Gender Inequality Index (Rank),Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament,Population with at least some secondary education (F),Population with at least some secondary education (M),Labour force participation rate (F),Labour force participation rate (M),Human Development Index (F),Human Development Index (M),Life expectancy at birth (F),Life expectancy at birth (M),Expected years of schooling (F),Expected years of schooling (M),Mean years of schooling (F),Mean years of schooling (M),Estimated  gross national income per capita (F),Estimated  gross national income per capita (M),Unpaid domestic and care work (F),Unpaid domestic and care work (M),Mandatory equal remuneration by law,Firms with female participation in ownership (% of firms),Firms with female top manager (% of firms),Equity in signing a contract,Women Business and the Law Index Score (scale 1-100),Freedom on sexual relations and reproductive health care,"Part time employment, female (% of total part time employment)","Part time employment, male (% of total male employment)",Number of female business owners,Number of male business owners,WB&L: Parenthood Indicator,Requirement of obeying husband,Financial institution account owners (M),Financial institution account owners (F),Share of woman inventors,Region
CHE,1.0,Switzerland,0.018,3.0,5.0,2.2,39.8,96.9,97.5,61.7,72.7,0.944,0.976,85.9,82.0,16.4,16.6,13.5,14.2,54597.0,79451.0,16.83333,10.80417,1.0,,,0,88.125,,62.1774039,33.70000076,,,80.0,1,98.0,98.9,8.5,Europe
NOR,2.0,Norway,0.016,2.0,2.0,2.3,45.0,99.1,99.3,60.3,72.0,0.95,0.966,84.9,81.6,18.9,17.5,13.1,12.9,54699.0,74445.0,15.30833,12.33333,1.0,,,0,96.875,,56.3822665,42.63000107,6843.0,21902.0,100.0,1,99.5,100.0,7.9,Europe
ISL,3.0,Iceland,0.043,8.0,4.0,5.4,47.6,99.8,99.7,61.7,70.5,0.947,0.971,84.2,81.2,20.3,18.1,13.9,13.7,47136.0,64004.0,,,1.0,,,1,100.0,,61.0655149,29.70999908,,,100.0,1,,,,Europe
,4.0,"Hong Kong, China (SAR)",,,,1.6,,77.1,83.4,53.5,65.8,0.941,0.964,88.3,82.7,17.6,17.0,11.8,12.7,51735.0,75307.0,,,,,,,,,,,,,,,,,,
AUS,5.0,Australia,0.073,19.0,6.0,8.1,37.9,94.6,94.4,61.1,70.5,0.932,0.963,85.8,83.2,21.8,20.3,12.8,12.6,37486.0,61161.0,,,1.0,,,1,96.875,,58.9298264,35.79999924,,,100.0,1,99.9,99.2,13.3,Asia Pacific
DNK,6.0,Denmark,0.013,1.0,4.0,1.9,39.7,95.1,95.2,57.7,66.7,0.937,0.957,83.3,79.5,19.3,18.1,13.2,12.8,49876.0,70961.0,,,1.0,31.8,8.3,1,100.0,,57.6655848,35.09999847,7380.0,28550.0,100.0,1,99.8,100.0,13.7,Europe
SWE,7.0,Sweden,0.023,4.0,4.0,3.3,47.0,91.8,92.2,61.7,68.0,0.941,0.952,84.9,81.1,20.5,18.3,12.8,12.4,49580.0,59326.0,16.04201,12.82797,1.0,37.3,14.0,1,100.0,,53.5467147,44.34999847,,,100.0,1,99.5,100.0,7.7,Europe
IRL,8.0,Ireland,0.074,21.0,5.0,5.9,27.3,88.1,86.0,56.5,68.6,0.934,0.947,83.8,80.2,19.2,18.6,11.8,11.4,61104.0,91506.0,,,1.0,54.9,15.1,1,100.0,,61.4591665,28.29000092,,,100.0,1,95.4,95.3,11.6,Europe
DEU,9.0,Germany,0.073,19.0,7.0,7.5,34.8,96.1,96.5,56.8,66.0,0.931,0.952,83.2,78.1,17.0,17.0,13.8,14.3,46150.0,63143.0,16.4,10.4,1.0,,,1,97.5,,65.2715964,28.5,14408.0,84613.0,80.0,1,99.1,99.2,6.5,Europe
NLD,10.0,Netherlands,0.025,5.0,5.0,2.8,39.1,89.8,92.7,62.4,71.3,0.925,0.956,83.4,80.0,19.0,18.4,12.4,12.8,46301.0,65778.0,14.72222,9.23611,1.0,35.0,13.7,1,97.5,,61.8632067,41.27999878,4697.0,21681.0,80.0,1,99.4,99.8,10.1,Europe
