Occupation,Number of workers,Median weekly earnings,Number of workers (M),Median weekly earnings  (M),Number of workers (F),Median weekly earnings (W)
"Total, full-time wage and salary workers",114316.00,998.00,62928.00,1097.00,51388.00,912.00
"Management, professional, and related occupations",51166.00,1390.00,24561.00,1609.00,26605.00,1222.00
"Management, business, and financial operations occupations",21529.00,1482.00,11231.00,1672.00,10299.00,1306.00
Management occupations,13942.00,1546.00,7826.00,1752.00,6116.00,1341.00
Chief executives,1151.00,2473.00,803.00,2721.00,348.00,1904.00
General and operations managers,999.00,1449.00,637.00,1548.00,361.00,1285.00
Legislators,13.00,–,6.00,–,7.00,–
Advertising and promotions managers,55.00,1338.00,31.00,–,23.00,–
Marketing managers,490.00,1545.00,182.00,1698.00,309.00,1490.00
Sales managers,500.00,1749.00,350.00,1910.00,150.00,1344.00
Public relations and fundraising managers,100.00,1670.00,34.00,–,66.00,1659.00
Administrative services managers,50.00,1227.00,9.00,–,41.00,–
Facilities managers,132.00,1456.00,106.00,1542.00,25.00,–
Computer and information systems managers,675.00,2085.00,492.00,2135.00,184.00,1908.00
Financial managers,1220.00,1569.00,539.00,1885.00,681.00,1372.00
Compensation and benefits managers,18.00,–,5.00,–,14.00,–
Human resources managers,260.00,1587.00,49.00,–,211.00,1545.00
Training and development managers,49.00,–,15.00,–,34.00,–
Industrial production managers,236.00,1636.00,190.00,1666.00,46.00,–
Purchasing managers,214.00,1562.00,117.00,1612.00,97.00,1363.00
"Transportation, storage, and distribution managers",304.00,1113.00,239.00,1221.00,65.00,984.00
"Farmers, ranchers, and other agricultural managers",126.00,1032.00,103.00,1048.00,24.00,–
Construction managers,633.00,1534.00,578.00,1548.00,54.00,1165.00
Education and childcare administrators,856.00,1551.00,315.00,1857.00,540.00,1411.00
Architectural and engineering managers,176.00,2709.00,156.00,2723.00,20.00,–
Food service managers,758.00,881.00,360.00,1014.00,398.00,789.00
Funeral home managers,5.00,–,4.00,–,2.00,–
Entertainment and recreation managers,31.00,–,22.00,–,10.00,–
Lodging managers,83.00,973.00,42.00,–,41.00,–
Medical and health services managers,676.00,1463.00,161.00,1773.00,515.00,1363.00
Natural sciences managers,17.00,–,9.00,–,9.00,–
Postmasters and mail superintendents,12.00,–,6.00,–,6.00,–
"Property, real estate, and community association managers",466.00,1162.00,212.00,1360.00,254.00,1086.00
Social and community service managers,348.00,1204.00,125.00,1317.00,222.00,1150.00
Emergency management directors,12.00,–,5.00,–,7.00,–
"Personal service managers, all other",0.00,–,0.00,–,0.00,–
"Managers, all other",3276.00,1573.00,1924.00,1747.00,1352.00,1396.00
Business and financial operations occupations,7587.00,1382.00,3404.00,1552.00,4183.00,1253.00
"Agents and business managers of artists, performers, and athletes",30.00,–,15.00,–,15.00,–
"Buyers and purchasing agents, farm products",9.00,–,8.00,–,1.00,–
"Wholesale and retail buyers, except farm products",126.00,1061.00,56.00,1072.00,69.00,1027.00
"Purchasing agents, except wholesale, retail, and farm products",212.00,1165.00,80.00,1165.00,132.00,1165.00
"Claims adjusters, appraisers, examiners, and investigators",327.00,1147.00,138.00,1327.00,189.00,973.00
Compliance officers,274.00,1369.00,137.00,1331.00,137.00,1423.00
Cost estimators,119.00,1395.00,92.00,1448.00,27.00,–
Human resources workers,795.00,1251.00,217.00,1411.00,579.00,1212.00
"Compensation, benefits, and job analysis specialists",66.00,1232.00,18.00,–,48.00,–
Training and development specialists,130.00,1342.00,66.00,1464.00,64.00,1195.00
Logisticians,116.00,1322.00,72.00,1336.00,43.00,–
Project management specialists,735.00,1649.00,415.00,1861.00,321.00,1455.00
Management analysts,707.00,1608.00,384.00,1887.00,323.00,1451.00
"Meeting, convention, and event planners",84.00,1080.00,13.00,–,71.00,1037.00
Fundraisers,80.00,1667.00,26.00,–,54.00,1540.00
Market research analysts and marketing specialists,335.00,1446.00,135.00,1743.00,200.00,1276.00
"Business operations specialists, all other",497.00,1241.00,208.00,1326.00,289.00,1162.00
Accountants and auditors,1374.00,1345.00,521.00,1494.00,852.00,1261.00
Property appraisers and assessors,39.00,–,25.00,–,14.00,–
Budget analysts,59.00,1558.00,24.00,–,35.00,–
Credit analysts,46.00,–,17.00,–,29.00,–
Financial and investment analysts,313.00,1719.00,177.00,1837.00,137.00,1607.00
Personal financial advisors,389.00,1773.00,235.00,2183.00,154.00,1424.00
Insurance underwriters,122.00,1367.00,49.00,–,73.00,1365.00
Financial examiners,13.00,–,4.00,–,9.00,–
Credit counselors and loan officers,427.00,1332.00,208.00,1560.00,218.00,1127.00
"Tax examiners and collectors, and revenue agents",60.00,1015.00,28.00,–,31.00,–
Tax preparers,50.00,961.00,20.00,–,30.00,–
Other financial specialists,54.00,1441.00,17.00,–,37.00,–
Professional and related occupations,29637.00,1335.00,13330.00,1555.00,16306.00,1167.00
Computer and mathematical occupations,5267.00,1660.00,3917.00,1742.00,1350.00,1499.00
Computer and information research scientists,41.00,–,28.00,–,13.00,–
Computer systems analysts,423.00,1489.00,266.00,1556.00,157.00,1414.00
Information security analysts,145.00,1874.00,120.00,1904.00,26.00,–
Computer programmers,387.00,1734.00,308.00,1742.00,79.00,1677.00
